America’s Misguided Immigration Debate	アメリカの見当違いな移民討論
A second option is living with a nuclear North Korea.	二つめのオプションは核を保有する北朝鮮との共存である。
The danger is less that North Korea might use nuclear weapons (although it might) than that it might sell them.	北朝鮮が核兵器を売却するよりも、使用する危険性の方が(皆無とは言い切れないが)低い。
President Bush’s warning that “the transfer of nuclear weapons or material by North Korea to states or non-state entities would be considered a grave threat to the United States, and we would hold North Korea fully accountable of the consequences of such action,” is meant to deter this outcome.	ブッシュ大統領の「北朝鮮による、国家あるいは非国家主体への核兵器または原料物質の移転は、アメリカ合衆国に対する重大な脅威であると捉えられ、我々はそのような行動が及ぼす影響に対する全責任を、北朝鮮に課すだろう」という警告は、この結果を思いとどませるはずであった。
The problem, of course, is that deterrence sometimes fails.	問題は、もちろん、制止は失敗することもあるということだ。
The third option is diplomacy.	三つめのオプションは外交である。
North Korea would be expected to give up its nuclear weapons and place its nuclear material under international safeguards in exchange for formal security assurances, energy resources, and a range of political and economic benefits.	北朝鮮は、公式な安全の保証、エネルギー資源、そして一連の政治的・経済的利益と引き換えに、核兵器を放棄し、その核原料物質を国際的な保護下に置くことが期待される。
Such efforts should be renewed as soon as possible; the US should agree to bilateral as well as six-party talks with the North, possibly in exchange for a moratorium on nuclear tests.	このような努力はできる限り早急に復活されるべきだ;米国は例えば核実験の一時停止と引き換えに、六カ国協議はもちろん、北側との二国間協議に合意すべきである。
It will take a blend of the three options – the threat of military force, the reality of economic sanctions, and the resumption of diplomacy —to deal with North Korea’s challenge.	北朝鮮からの挑戦と取引するには、三つのオプション—軍事力の脅威、経済制裁の現実、そして外交の回復—の融合が必要だろう。
This will not be easy, but it is worth pursuing, because the alternative—a desperate, hostile, nuclear-armed, and isolated North Korea—should alarm everyone.	これは容易ではないが、もう一方の選択肢—自暴自棄で、敵意に満ち、核武装し孤立した北朝鮮—は全ての者に警報を鳴らすのだから、追い求める価値はある。
	
Parties and Populists	政党と人民主義者
This is not a good time for political parties, especially those with traditional orientations.	政治団体、特に慣例志向を持つ政党にとって、今は好ましい時ではない。
Gone are the times in the older democracies when one could count on two major parties – one social democratic, the other more to the right of center – dominating the political scene.	政治情勢を占める2つの主要政党（一方は社会民主主義、他方は右寄り）に任せることができた旧民主主義の時代は、終わったのだ。
In the new democracies of the postcommunist world, such two-party systems never came into being.	社会主義崩壊後の世界の新しい民主主義においては、そのような2政党構造が生ずることは一度もなかった。
Nowadays the two largest parties can rarely hope to muster two-thirds of the popular vote.	現今では、2大政党が一般投票の3分の２を集めることなど、到底望めない。
Not infrequently they have to form a “grand coalition.”	彼らが「大連立」を形成せざるを得ないことも、往々にしてある。
The rest of the vote is split many ways – unless a political force emerges to cut right through the old party structures by arousing popular nationalist or socialist sentiments, or a combination of the two.	民衆的な国粋主義者か社会主義者の、あるいは両方の感情を刺激することによって、旧式の政党構造に真向から斬りこむ政治勢力が現れない限り‐残りの票は様々に分裂するのだ。
The decline of parties reflects the decline of class.	政党の減退は、階級の減退を反映している。
The old proletariat and the old bourgeoisie are gone.	かつてのプロレタリア（無産）階級やブルジョワ（有産）階級などは、なくなった。
Instead we see what has sometimes been called a “levelled-in middle-class society,” albeit one with an important elite of the super-rich at one end and an underclass at the other.	代わりに我々が目にするようになったのは、片端は超富豪の著名なエリート、もう一方は下層階級の人々で構成されているにもかかわらず、時々「中流レベルの社会」と呼ばれてきたものである。
The very structure of society has come to be shaky.	社会の構造そのものが、不安定になってきた。
There are no social groups on which lasting organizations can be built.	長持ちする組織を築けるような、土台となる社会グループは存在しない。
People are, in a sense, socially homeless.	人々は、ある意味で、社会的にホームレスなのだ。
This means that their interests vary as situations change.	これはつまり、状況が変わるたびに彼らの興味が異なるということだ。
It also means that they no longer find a political home in parties, but react to situations, to vague moods, and above all to appeals to sentiments, if not resentments.	また、彼らがもはや政党の中に政治的基盤を見出せず、状況や、漠然とした雰囲気、そして何よりも、憤りとまでは呼べずとも、感情に訴えるものに反応するようになったことを意味する。
This is the condition in which populists thrive.	これが、人民主義者が育つ条件である。
In some cases, they are individuals like President Hugo Chávez of Venezuela (and other Latin American leaders) or Italy’s ex-Prime Minister Silvio Berlusconi.	いくつかの例において、それはベネズエラのウゴ･チャベス大統領（そしてラテンアメリカ諸国のリーダー達）や、あるいはイタリアの前首相シルビオ･ベルルスコーニなどの個人である。
Mostly they enter the political scene from the fringes but manage to form a highly personalized grouping, like Jörg Haider and his Austrian Freedom Party, Jean-Marie LePen and his French Nationalists, Andrzej Lepper and his Polish Peasant Party, or Prime Minister Robert Fico and his Direction in Slovakia.	彼らのほとんどは、外辺から政治の表舞台に上ってくるのだが、ヨルグ･ハイダーと彼のオーストリア自由党、ジャンマリー・ルペンと彼のフランスナショナリスト、アンジェイ・レッペルと彼のポーランド自衛党、あるいはスロバキアにおけるロベルト・フィツォ首相と彼の政権のように、非常に個人的な団体を形成することに長けている。
Many other names could be added to the list.	この人物リストにはまだまだ追加ができるだろう。
The list tells us two things.	このリストが我々に示すのは2点だ。
One is that a surprising number of populist leaders have managed to get themselves into power in recent years.	ひとつは、近年めざましい数の人民主義リーダーが、権力獲得にこぎつけていることである。
Their success reflects the electorate’s uncertainties and, increasingly, the perceived injustices of globalization, as well as the fear of many about minorities, immigrants, and foreigners in general.	彼らの成功は、投票者の不安定、そして、少数派、移民、また外国人全般に関して多くの人が抱く恐れと同時に、グローバリゼーションの不公平の認識を、ますます強く反映している。
These populists promise solutions that dispense with the habits and norms of moderation, notably with centrist democratic policies and an internationalism that seeks to promote peace and prosperity.	これら人民主義者は、節制の傾向と規範、とりわけ中道民主主義政策と、平和および繁栄を促進しようとする国際主義を省く解決策を、公約に上げる。
One sometimes wonders whether we are experiencing not so much the end of history as the end of enlightened history, perhaps of the enlightenment itself.	時折、我々が経験しているのは歴史の終わりというよりも、啓発された歴史の、あるいはもしかすると啓発そのものの、終焉なのだろうかと考えてしまう。
But another look at the list of populists tells us something else as well: most of them do not last.	しかし、また別の見方をすれば、人道主義者のリストは他のことも示してくれる。 大体の場合、長くは続かないということである。
As long as they accept elections and election results, they may be gone almost as quickly as they arrived.	選挙と選挙結果を受け入れる限り、彼らは現れたときと同じ速さで消えていくこともある。
It does not take long for voters to discover that the promises of populists were empty.	人民主義者の公約が空約束であったと投票者が気づくまでに、長くはかからない。
Once in power, they simply make for bad government.	いったん政権を握った彼らは、ひたすら粗悪政府を推し進めるだけだ。
Taking two recent European examples, Poles and Slovaks will likely soon realize that their new populist governments do more harm than good to the people and their country.	最近のヨーロッパの２例を見ると、ポーランドとスロバキアは、彼らの新しい人民主義政府が人民と国にもたらす害のほうが、益よりも大きいということを、まもなく悟ることだろう。
To be sure, this is not much of a consolation.	確かに、これはたいした慰めにはならない。
For one thing, some populist leaders may not accept the result of the next elections.	ひとつには、一部の人民主義リーダーが、次回選挙の結果を受け入れないかもしれないことがある。
It took Silvio Berlusconi quite a while to admit that he had lost.	シルビオ･ベルルスコーニが敗北を認めるまでに、随分時間がかかった。
Beyond that, populist episodes are signs of an underlying instability that neither serves national progress nor contributes to international order.	それ以上に、人民主義のエピソードは、国家発展の役にも立たず、国際秩序への貢献にもならない、潜在的な不安定の兆候である。
Austria paid a price for its Haider interlude, and France did not exactly benefit from the runoff between President Jacques Chirac and Le Pen in the last Presidential election.	オーストリアは幕間的なハイダー政権への代償を払ったし、フランスは前回の大統領選で繰り広げられたジャック･シラク大統領とルペンとの決戦から、大して利益を得なかった。
Is there a remedy?	救済策はあるか？
Political parties have had a bad press in recent years, and there are good reasons for this.	政治団体は近年、苦境に陥ってきたが、それには相当の理由がある。
Still, they do fulfill a useful function by bundling interests and issues, thereby providing an element of stability in the political system.	それでも、彼らは関心と議題をまとめ、政治システムに安定要素を提供し、有用な役目を果たすことは果たしている。
Existing parties urgently need to recapture the support of citizens.	現存する政党は、至急、民衆からの支持を再獲得することが必要である。
To succeed requires programmatic clarity, organizational honesty, and an understanding of the concerns of societies that have lost their traditional structures.	成功するためには、プログラムの明晰さ、組織的な誠実さ、そして慣例的構造を失った社会の関心事への理解が求められる。
Those structures are gone forever, but a liberal-democratic order cannot succeed through situational politics built on popular resentments.	これらの構造は永遠に失われたが、自由民主主義体制は、人民主義的不満の上に立つ場面対応の政治をもってしては、成功し得ない。
It requires a sense of the medium term and a commitment to rational debate of issues, for one tradition that can be revived – that of enlightened thinking – is the most important of all.	復興 できる 慣例ひとつ（啓発された考えのもの）が、最も重要であるため、ミディアム･タームの感覚、そして理性的な問題議論への参加が必要とされるのである。
	
Preventing “Trump 2024”	「トランプ2024年の再選」を防ぐために
NEW HAVEN – In his victory speech in November, US President-elect Joe Biden promised to reach across the aisle, work with Republicans, and unite the country.	ニューヘイブン発–大統領選勝利演説で、ジョー・バイデン次期大統領は、会派を超えて共和党員と協力し国論を統一すると約束した。
Two months later, outgoing President Donald Trump still has not conceded, and some of his loyalists reportedly plan to vote against the counting of Electoral College votes this week.	2ヶ月後の今、ドナルド・トランプ大統領はいまだに退陣に譲歩しておらず、彼の支持者と共和党議員の一部は今週、議会で選挙人投票所投票の集計に反対票を投じる手はずになっていた。 その後議会を占拠した暴徒の振る舞いは、世界中に報道されている。
The effort won’t prevent Biden from being inaugurated this month, but it does demonstrate just how polarized the United States is – and the threat this poses to America’s democracy.	この試みもバイデンの今月の大統領就任を防ぐことはないと祈りたいが、アメリカがいかに二極化しているかを示すものである。 世論の亀裂がアメリカの民主主義に空前絶後の脅威をもたらしているのである。
To be sure, the US Constitution has proved hardy over the last four years.	この4年間の経緯はアメリカ憲法が堅在であることを示していた。
Since the presidential election two months ago, Trump and his Republican allies have filed more than 50 lawsuits challenging the results.	2ヶ月前の大統領選以来、トランプと彼の共和党の同志らは、選挙結果に異議を唱えて50以上の訴訟を起こしてきた。
They have lost all of them, with even the Supreme Court – which Trump has packed with right-wing justices – ruling against them.	しかし、トランプが右派の判事で埋めた最高裁でさえ、判決でトランプを見放したのである。
Nonetheless, the lengths to which Trump loyalists have been willing to go to for him, together with the support he still enjoys among voters, raise serious questions about the state of American society.	それにもかかわらず、トランプ支持者たちがトランプの主張を援護し、それがまた有権者にいまだに支持されていることは、アメリカ社会に現在深刻な疑問を投げかけていることを示す。
After all, polarization in America today is not fueled by disagreement over, say, which tax policies would do the most good for Americans and their economy.	さて、今日のアメリカの二極化は、どの税制が国民や経済にとって望ましいか最も良いか、といった具体的政策意見の相違によって引き起こされているのではない。
Such debates are the lifeblood of democratic politics.	このような議論は民主主義政治の生命線である。
But they seem to have been abandoned in favor of disputes over reality itself – with deadly consequences.	しかし、具体的論争は、現実が何なのかという論争の陰に隠れてしまっている。 そのためにアメリカ社会は大きな傷を負っている。
Consider the COVID-19 pandemic.	新型コロナウイルスのケースを考えてみよう。
From the beginning, Trump played down the severity of the coronavirus, despite knowing better.	最初から、トランプはコロナウイルスなどたいしたことないと主張続けた。
Moreover, he has repeatedly endorsed unproven treatments, while refusing to support the mandatory use of proven preventive measures, like mask wearing.	さらに、彼は繰り返し医学で実証されていない治療法を支持して、マスク着用のように実証済みの予防法の強制的な使用を支持することを拒んできた。
Over 350,000 Americans have died.	その結果35万人以上のアメリカ人がコロナウイルスで死亡しているのである。
Yet many of Trump’s supporters remain as loyal as ever.	しかし、嘘をつく政治が未だうまく通用しているのである。 トランプの支持者の多くは、これまでと同様に彼に忠実である。
More than 74 million Americans voted for Trump in November, compared to 81 million for Biden.	11月には実に7400万人以上のアメリカ人がトランプ氏に投票したのである。 （バイデンは8100万人だった。
And, though Trump and his allies have put forward no evidence of electoral fraud, only one-quarter of Republicans say they trust the results of the recent vote.	）そして、トランプとその同士は、不正行為の証拠を何も無いのにかかわらず、彼の言うことを信ずる。 共和党員の4分の1だけしか大統領選の投票結果を信頼していない。
Yet this should not be particularly surprising.	しかし、トランプの過去を考えると、これは特に驚くべきことではないはずだ。
From asserting that special counsel Robert Mueller’s investigation into Russian interference in the 2016 election “completely and totally exonerated” him to claiming that water-conservation restrictions force people to flush their toilets 10-15 times instead of once, Trump’s go-to strategy throughout his political career has been simply to make things up.	ロバート・ミューラー特別顧問による2016年の選挙へのロシア干渉に関する調査でトランプは「自分は完全に無罪になった」と主張したり、また環境のため「節水制限するとトイレを1回ではなく10～15回流さざるを得ない」などと主張したりする。 トランプの今までの常套手段は、単にでっち上げ、脅し、そして借金の不払い訴訟であるように見える。
Republicans have willingly echoed his lies, and conservative media have amplified and built on them.	共和党員は彼の嘘に喜んで共鳴し、保守メディアはそれを増幅させてきた。
For the last four years, that job has fallen primarily to Fox News, Trump’s number one cheerleader and megaphone.	この4年間、彼の宣伝は主にトランプのメガフォン代わりのフォックス・ニュースに委ねられてきた。
More recently, however, Trump has lashed out at the network, which he believes has been insufficiently loyal in its election coverage, and embraced even more extreme outlets, such as Newsmax and One America News Network.	しかし最近、トランプは、選挙報道に十分な忠誠心がないとフォックスに怒りをぶつけ、ニュース・マックスやワン・アメリカ・ニュース・ネットワークのような、より過激な報道機関を取り入れるようになった。
Such media allies could pave the way for a political comeback.	このようなメディアは、トランプの政治的カムバックへの道を開く手段となりうる。
Trump has already discussed running for president again in 2024, and there is speculation about his daughter Ivanka Trump’s political ambitions.	彼はすでに2024年に再び大統領選に出馬することを検討しており、娘のイヴァンカ・トランプ氏の政治的野心についても憶測が飛び交っている。
But it doesn’t have to be a Trump who takes up the mantle of right-wing populism, nationalism, and authoritarianism in the US; a figure from outside the family could also emerge to fill this role, possibly much more deftly than Trump.	しかし、米国における右翼ポピュリズム、ナショナリズム、権威主義のマントを担うのはトランプ氏である必要はない。 彼の家族の外からも、この役割を担う人物が現れる可能性があり、おそらくトランプよりもはるかに巧妙なのだ。
The best way to mitigate this risk is to close the cognitive gap that is distorting US political discourse, returning Americans to a shared reality.	このリスクを軽減するには、米国の政治的言説を歪めている認知的ギャップを解消し、アメリカ人をトランプの振りまく虚構から共通の現実に戻すことである。
The question is how.	問題はその方法である。
After all, plenty of existing media outlets – including legacy newspapers like The Washington Post and The New York Times, as well as mainstream American television networks like CNN – already provide fact-based, data-driven journalism.	第一に、ワシントン・ポストやニューヨーク・タイムズのような伝統ある新聞やCNNのようなアメリカの主流テレビネットワークなど、既存の多くのメディアはすでに事実に基づいた、データに基づいたまともなジャーナリズムを提供している。
Many simply don’t listen.	嘘の世界を真の世界に戻す正統派の方法だが、問題は多くの人々が耳を貸さないことだ。
Instead, Trump and his supporters decry the “mainstream media” for pushing a “liberal agenda,” which includes, for example, recognizing and exposing racial injustice and other forms of discrimination.	トランプは 、 「 主流メディア」が過激な「進歩的（リベラル）なアジェンダ」を推し進めていると非難する。
But this approach is only as radical as democracy itself, and has contributed significantly to American social progress, particularly since the civil rights movement of the 1950s and 1960s.	しかし、このアプローチは民主主義そのものを推し進めているにすぎないし、そのおかげで、特に1950年代から1960年代の公民権運動以来アメリカの社会進歩に大きく貢献してきたものに他ならない。
Even so, a significant share of people – especially those who benefit from biased systems – will resist social progress, regardless of how strong a case the media make for it.	メディアにうそがあっても、たとえば古い差別的な制度の恩恵を受ける人々は、メディアがどれほど強力に社会進歩を主張しようとも、それに抵抗するだろう。 そのような抵抗をどう排除したらよいであろうか。
And they will embrace political leaders and news sources that provide an alternate reality in which their position is rationalized, defended, and shared.	人びとは、自分たちの立場が合理化され、擁護され、共有されるような代替現実を提供する政治指導者やニュースソースを受け入れるようになる。
This is hardly a uniquely American phenomenon.	これはアメリカ特有の現象ではない。
In Japan, progress toward gender equality has been slow, despite the obvious benefits of increasing female labor-force participation amid rapid populating aging.	日本でも、人口の高齢化が急速に進む中で女性の労働力参加を増やすという明白な利益があるにもかかわらず、男女平等に向けた進展は遅々として進まない。
Nearly eight years ago, then-Prime Minister Shinzo Abe made policies aimed at reaping those benefits – dubbed “womenomics” – a pillar of his “Abenomics” strategy for economic revitalization.	8年近く前、安倍晋三首相（当時）は「アベノミクス」と呼ばれる経済活性化戦略の柱として、女性の活躍の恩恵を受けることを目的とした「ウ―マノミクス」政策を打ち出した。
But Japan still has a long way to go, owing largely to social resistance.	しかし、社会的な抵抗が大きく、それの実現には、まだ長い道のりを歩んでいる。
Overcoming such resistance to progress – in the US, Japan, and elsewhere – will require not just information, but persuasion.	アメリカや日本でもその他の国でも、進歩に対するこのような抵抗を克服するためには、意識の変革だけでなく、説得力、政治力が必要となる。
Communication must be painstaking, non-threatening, and people-oriented, aimed not at telling people they are wrong, but at influencing how they perceive the issue.	コミュニケーションは、人々に報道が間違っていることを伝えるだけでなく、人々が正しい方向を認めやすくするような、忍耐深いものでなければならない。 立場の違う人びとの間で、両者ともに利益を得るような、ウィン・ウィンの解決法を見出すのが政治家の役割である。
Biden cannot do this alone.	バイデンはこれを単独で行うことはできない。
It must be a bipartisan effort, led by America’s most senior political leaders.	それは、アメリカの有力議員の協力を結集した超党派の努力が必要となる。
Fortunately, the latest COVID-19 relief package, which passed with overwhelming bipartisan support despite Trump’s objections, offers reason for hope that this is possible. Whether such compromises will continue into Biden’s presidency remains to be seen.	幸いにも、最新のCOVID-19救済パッケージは、トランプ氏の反対にもかかわらず、圧倒的な超党派の支持を得て可決され、大統領の拒否権も無力だった。
Republicans and Democrats will never agree on everything, as well they shouldn’t: a vibrant democracy depends on spirited debate.	共和党と民主党が、すべてのことに同意することはないだろう。 しかし、経験的事実については同意すべきである。
But they should agree on empirical facts.	そうして初めて、彼らは誠意を持って政策を立案し、広く有益な妥協点を見つけ出すことができるであろう。
Only then can they devise policies in good faith, find broadly beneficial compromises, and protect US democracy from would-be authoritarians eager to exploit Americans’ cognitive divide.	そして、アメリカ人間の現実認識の分裂を利用して独裁制に類する体制を作りだそうとする民主主義の敵からアメリカを守ることができるであろう。
	
Putting Lebanon Together	レバノンにまとまりを
Today’s crisis in Lebanon is a crisis of the Lebanese state.	今日、レバノンで起きている危機は、レバノン国家の危機である。
It is this structural crisis that must be addressed if the violence is to stop.	暴力を食い止めるには、この構造上の危機に取り組まなければならない。
When Israel withdrew its forces from southern Lebanon in 2000, the international understanding was that the Lebanese government would re-assert its authority in the evacuated area.	2000年にイスラエルがレバノン南部から軍隊を引き揚げた際、世界は、レバノン政府が撤退後の地域における権限を再び主張するものと理解していた。
Hezbollah, which led the armed struggle against Israeli occupation, was to disarm and re-invent itself as a political force, representing the Shiite community that was historically marginalized by Lebanon’s ruling Maronite, Sunni, and Druze elites.	イスラエルによる占領に対する武力闘争を先導したヒズボラ(Hezbollah)は、武装を解除し、レバノンを統治するMaronite、Sunni、そしてDruzeのエリート達によって長らく軽んじられてきたシーア派のコミュニティを代表する政治勢力として、生まれ変わるはずだった。
None of this happened.	しかし、一つとして実行はされなかった。
Instead of deploying its forces in southern Lebanon, the weak government in Beirut acquiesced in Hezbollah’s determination to turn the area into a staging ground for attacks against Israel.	ベイルートの弱体政府は、南レバノンへの兵力配置はせず、地域をイスラエル攻撃の足場に変えるというヒズボラの決定に、黙って従った。
Over the last six years, Hezbollah established a virtual state-within-a-state: its militia became the only military force in southern Lebanon, setting up outposts along the frontier with Israel, sometimes only a few meters away from the border.	この6年間で、ヒズボラは国家の内の国家という虚像を打ち立てた：レバノン南部における唯一の軍力となった民兵が、イスラエルとの第一線に前哨部隊を組み、場合によっては国境から数メートルのところまで近づくこともある。
Occasionally, Hezbollah shelled Israel, and its leader, Hassan Nassrallah, continued his blood-curdling invective, not only against Israel and Zionism, but against all Jews.	時折、ヒズボラはイスラエルを砲撃し、その指導者ハッサン・ナスララハ(Hassan Nassrallah)は、イスラエルとシオニズムのみならず、全てのユダヤに対して、恐ろしい罵詈雑言を浴びせ続けた。
UN Security Council resolution 1559, which explicitly called for the disarming of all militias and the reassertion of Lebanese government authority in the south, went unheeded.	全民兵の武装解除と、南におけるレバノン政府の権限の再主張を明示的に求めた国連安全保障理事会決議1559は、無視された。
After the much-heralded “Cedar Revolution” of 2005, Hezbollah even joined the Lebanese government, while at the same time maintaining its armed militia and control of the south.	2005年、盛んに報じられた杉革命(Cedar Revolution)の後、ヒズボラは、武装民兵を維持し、南を支配しながら、同時にレバノン政府にまで参加するようになった。
Israel, for its part, still reeling from the trauma of its ill-begotten war in Lebanon in 1982, chose not to respond to Hezbollah’s attacks and hoped that the attacks would not escalate.	イスラエルとしては、1982年にレバノンで起こった、悪化をもたらした戦争のトラウマによろめきながらも、ヒズボラの攻撃に反応を示さない道を選び、攻撃がエスカレートしないことを願った。
Yet such absurd situations tend to explode, as occurred with Hezbollah’s abduction of two Israeli soldiers within Israeli territory.	だが、不条理な状況は、ヒズボラがイスラエル領内でイスラエル兵二人を誘拐したことに見られるように、激化するばかりである。
The continued existence of Hezbollah’s illegitimate state-within-a-state can no longer be tolerated.	もはや、ヒズボラによる違法な国家内の国家の存続は、黙認できない。
Yet Lebanon itself is too weak to assert its sovereignty.	しかしレバノン自体が、虚弱すぎて主権を主張できないのだ。
On the other hand, Israel will not allow Hezbollah to re-establish itself along its border, or to maintain its missile capability.	また一方で、イスラエルは、国境沿いにおけるヒズボラ再建、あるいはミサイル戦争能力の維持を許さないだろう。
To achieve any reassertion of effective Lebanese sovereignty in southern Lebanon, a robust international effort is needed, beyond the current hand wringing and rhetoric.	レバノン南部におけるレバノン主権有効を再主張するためには、現状で交わされている握手や演説以上に、強く国際的な働きかけが必要である。
The main elements of such an international solution are the following:	国際的解決の主要素とは、次のとおりである。
To succeed, this force must act very differently from the UN’s previous failed efforts in Lebanon.	成功するために、この部隊は、以前失敗したレバノンにおける国連の尽力とは、全く違う行動をしなければならない。
The existing UN force in southern Lebanon, UNIFIL, is a sad joke.	レバノン南部に現存する国連軍、UNIFILは散々だ。
Like the UN presence in Srebrenica during the Bosnian war, UNIFIL has given the UN a bad name: it never stopped terrorists from attacking Israel, nor did it stop the Israeli invasion of Lebanon in 1982.	ボスニア戦争中のスレブニツァに駐留した国連軍と同じように、UNIFILは国連に悪評をもたらした：テロリストによるイスラエル攻撃を一度も食い止められず、1982年のイスラエルによるレバノン侵略を止めることもできなかった。
What is needed is a military delegation that has a clear mandate to use force.	必要なのは、明白な力の行使権限を持つ、武装派遣団である。
It should be international, with the UN’s blessing, but it should not be a UN force.	それは、国連の賛意を得たもので、国際的であるべきだが、国連軍であるべきではない。
It could be based on NATO capabilities, with a strong European ingredient.	それはNATOの戦争能力を母体とし、強いヨーロッパ的な構成要素を持つものであり得るかもしれない。
To add legitimacy for its delicate mission within an Arab country, soldiers from Morocco, Saudi Arabia, and perhaps Pakistan, should be added.	アラブの一国内における、慎重な扱いを要するミッションに正当性を加えるために、モロッコ、サウジアラビア、そしておそらくパキスタンからの兵士も加えられるべきである。
The mission of such a force should be to help deploy – by force, if necessary – the Lebanese Army in southern Lebanon, to participate in disarming Hezbollah, and to patrol the Israeli-Lebanese border, ensuring that no incursions take place from either side.	このような部隊のミッションは、ヒズボラの武装解除に参加するために、レバノン南部におけるレバノン軍の（��要とあらば、力による）配置を援助し、いずれの側からの襲撃も起きない状態を確保するために、イスラエルとレバノンの国境を警備することであるべきだ。
Last but not least: it is not widely known that one anomaly of Lebanon’s status until this very day is that Syria has not fully recognized its existence as a sovereign nation (in Syrian school textbooks, Lebanon figures as part of Greater Syria).	最後になったが大切なことは、今日に至るまで、シリアがレバノンの主権国家としての存在を完全には認めていない、というレバノン事情の異例が、広く知られていないことである（シリアの学校の教科書には、レバノンは大きなシリアの一部として描かれている ） 。
Consequently, there are no normal diplomatic relations between the two countries – no Syrian embassy in Beirut and no Lebanese embassy in Damascus.	つまり、これら2国の間には、通常の外交関係が存在しないのだ－ベイルートにシリア大使館はなく、また、ダマスカスにレバノン大使館はない。
This is absurd and dangerous, and the hapless Arab League has never truly addressed it.	これは、不条理で危険なことであり、不運なアラブ連盟は、この状態を真に目指したわけではなかった。
To bolster Lebanese independence and security, and in line with UN resolution 1559, which brought about the withdrawal of Syrian forces from Lebanon, Syria should be pushed to recognize Lebanon’s sovereignty and independence.	レバノンの独立と安全を支持するために、そしてシリア軍のレバノンからの撤退をもたらした国連決議1559に沿うように、シリアによるレバノンの主権と独立承認が促されるべきである。
Hezbollah’s existence as a mini-state in southern Lebanon is a flagrant violation of Lebanese sovereignty.	ヒズボラのレバノン南部における小国家としての存在は、紛れもなく、レバノン主権の侵害である。
That vacuum of legitimate authority created the present crisis, and it must be extirpated.	その正当な権限が空虚であったことが、現在の危機を生み出したのであり、これは根絶されなければならない。
Lebanon itself cannot establish its sovereignty in the country’s south, and Israeli military force is incapable of doing it.	レバノン自体が南地域における主権を打ち立てることができず、イスラエル武装軍隊もまた、それを成し遂げられない。
Empty words from St. Petersburg, Brussels, or UN headquarters will not suffice, nor will a mere ceasefire, as that would simply return the area to square one.	サンクト・ペテルブルク、ブリュッセル、あるいは国連本部からの空虚な言葉では足りず、また、停戦だけでもたりない。 それらは単に、地域を四角に戻すだけになるであろう。
Instead, fundamental change is needed.	代わりに必要なのは、根本からの変革である。
Only an effective military force, with international legitimacy, can supply it.	国際的な合法性を持った、有効な軍力だけが、これを供給できる。
Otherwise, we are all condemned to the continuation of the present cycles of violence.	さもなければ、現今の暴力の循環がこの先もずっと続くという宣告を、我々全員が受けるのだ。
	
Rethinking Sovereignty	主権を再考する
For 350 years, sovereignty – the notion that states are the central actors on the world stage and that governments are essentially free to do what they want within their own territory but not within the territory of other states – has provided the organizing principle of international relations.	350年の間、主権‐国家が世界という舞台における主役アクターであり、そして政府は自国の領域内では本質的に思うままに行動する自由があるが、他国の領域ではその自由はないという観念‐は国際社会を編成する上での原則を示してきた。
The time has come to rethink this notion.	いま、この観念を再考すべき時が来ている。
The world’s 190-plus states now co-exist with a larger number of powerful non-sovereign and at least partly (and often largely) independent actors, ranging from corporations to non-government organizations (NGO’s), from terrorist groups to drug cartels, from regional and global institutions to banks and private equity funds.	現在、世界には190の国家‐そして、多数のパワフルかつ非独立、あるいは部分的に（そして多くの場合、大規模な）独立したアクターと共存する国々がある。 その形態は、法人から非政府組織（NGO ） 、 テロリスト団体から麻薬組織、あるいは地域・国際機関から銀行・未公開株式ファンドまでなど、多岐にわたる。
The sovereign state is influenced by them (for better and for worse) as much as it is able to influence them.	主権国家がこれらのアクターへ影響を及ぼすことができるのと同様に、彼らからも（良い方向にも悪い方向にも）影響を受ける。
The near monopoly of power once enjoyed by sovereign entities is being eroded.	かつて、主権が享受したほぼ独占的な権力が、徐々に失われつつある。
As a result, new mechanisms are needed for regional and global governance that include actors other than states.	結果として、地域的・国際的統治には、国家以外のアクターを含む新たな仕組みが必要である。
This is not to argue that Microsoft, Amnesty International, or Goldman Sachs be given seats in the United Nations General Assembly, but it does mean including representatives of such organizations in regional and global deliberations when they have the capacity to affect whether and how regional and global challenges are met.	これは、マイクロソフト、アムネスティ・インターナショナル、あるいはゴールドマン・サックスなどに国連総会の議席を与えるという議論ではないが、地域的・国際的挑戦が達成されるか、またどうすれば達成されるかという問題に影響を及ぼす力があるならば、このような組織の代表者を地域的・国際的な審議に加えるということを意味する。
Moreover, states must be prepared to cede some sovereignty to world bodies if the international system is to function.	さらに、国際社会を機能させるために、国家は主権を国際主体に譲る覚悟がなければならない。
This is already taking place in the trade realm.	貿易の分野では、すでにその動きが見られる。
Governments agree to accept the rulings of the World Trade Organization because on balance they benefit from an international trading order even if a particular decision requires that they alter a practice that is their sovereign right to carry out.	各国政府は、本来彼らが主権のもとに行う慣例を、特殊な決定により変えなければならないとしても、結局のところ、国際貿易体制から利潤を得るため、WTO（世界貿易機関）による管理の受け入れに同意している。
Some governments are prepared to give up elements of sovereignty to address the threat of global climate change.	政府によっては、世界的異常気象の脅威に取り組むため、主権の要素を手放す覚悟を見せている。
Under one such arrangement, the Kyoto Protocol, which runs through 2012, signatories agree to cap specific emissions.	それを表す取り決めの一例、2012年までを期間目標とする京都議定書の加盟国は、具体的な排出に対する規制に同意している。
